valid_time,Wind_Speed_10m_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Cloud_Cover_Mean_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
01-01-1979,3.057533,287.1781,299.87985,294.4872,289.29544,0.05376988,100,36.282654,0,4.17067,2.04E+07,16.242744,18.849495,14,77.6
02-01-1979,3.3626342,287.69653,299.67612,293.92877,288.13562,0.13144998,100,44.930626,0,4.094016,2.06E+07,16.671247,18.002874,14,77.6
03-01-1979,3.1226995,287.0918,299.60724,294.0756,288.2328,0.10030431,100,42.027077,0,4.094167,2.05E+07,16.106028,18.427717,14,77.6
04-01-1979,2.7018707,285.96634,299.97995,294.1151,287.44446,0.050942224,100,34.385433,0,4.1396704,2.09E+07,15.105668,20.1936,14,77.6
05-01-1979,2.735099,285.18057,300.5225,294.55978,287.70276,0.2630649,97.5156,30.309341,0,4.3012934,2.10E+07,14.392598,22.047413,14,77.6
06-01-1979,3.345677,285.11572,300.39297,294.25458,288.32996,0.23538582,96.46162,32.54707,0,4.5795326,2.09E+07,14.257423,21.907387,14,77.6
07-01-1979,3.0212007,285.80835,300.09033,294.3899,288.37985,0.16483755,95.33857,33.868793,0,4.356552,2.10E+07,14.8288,20.699993,14,77.6
08-01-1979,2.6112685,284.90872,300.27322,294.37732,288.37277,0.60399383,99.77874,31.274687,0,4.301329,2.09E+07,14.028301,21.883678,14,77.6
09-01-1979,2.663872,285.63834,300.40445,294.26685,287.54822,0.3424688,98.621544,35.83031,0,4.2314487,2.08E+07,14.632376,21.556738,14,77.6
10-01-1979,2.939453,284.72183,300.45248,294.01056,288.20718,0.048353482,94.24313,28.673004,0,4.489151,2.10E+07,13.882343,22.408684,14,77.6
11-01-1979,3.0345151,284.84348,299.95068,293.8386,287.6202,0.06152163,100,29.628054,0,4.448957,2.14E+07,14.064784,21.173836,14,77.6
12-01-1979,2.8767045,284.08466,300.37637,294.03015,287.61115,0.047547817,96.12501,28.01193,0,4.50902,2.14E+07,13.338208,22.791462,14,77.6
13-01-1979,2.9822874,284.09015,300.61548,294.44678,288.47394,0.056701627,95.746475,28.665113,0,4.639794,2.13E+07,13.378606,23.260094,14,77.6
14-01-1979,2.9843295,284.45093,301.52667,294.7717,288.77045,0.051253323,92.137344,26.521162,0,4.770861,2.13E+07,13.663524,24.972763,14,77.6
15-01-1979,3.268389,285.19064,301.23303,294.88828,288.88824,0.04927161,96.24916,27.79152,0,4.8019066,2.14E+07,14.323042,23.659403,14,77.6
16-01-1979,2.9426224,284.89444,301.4272,294.9768,289.03525,0.06870436,97.165276,27.76106,0,4.7271366,2.13E+07,14.049257,24.364412,14,77.6
17-01-1979,2.7536252,286.26773,301.5831,294.89862,288.58417,0.055587128,100,30.569609,0,4.5326934,2.14E+07,15.281693,23.481358,14,77.6
18-01-1979,2.7645218,287.8065,302.8553,296.4235,289.91815,0.21662392,98.85928,30.854458,0,4.6034217,2.08E+07,16.898804,24.819843,14,77.6
19-01-1979,2.490983,289.08926,302.62454,297.3369,291.4857,0.3833882,99.06841,35.941803,0.02,4.296974,1.94E+07,18.288332,22.880152,14,77.6
20-01-1979,2.259903,289.4468,301.59592,296.77856,291.5602,0.4567854,99.224625,41.1241,0.13,3.8190114,1.73E+07,18.642908,20.148993,14,77.6
21-01-1979,3.659535,287.47104,302.04852,296.3254,291.2813,0.20810904,91.21558,34.580074,0.01,5.04862,2.13E+07,16.493279,23.3292,14,77.6
22-01-1979,3.2180402,286.91333,300.93665,295.18784,289.4167,0.30292073,97.7572,31.663137,0,4.618685,2.13E+07,15.933034,21.399242,14,77.6
23-01-1979,3.71289,288.66882,301.6074,295.5576,289.4459,0.34205478,100,36.465633,0,4.604618,2.07E+07,17.75687,21.06086,14,77.6
24-01-1979,4.0604496,288.9504,301.63873,296.295,291.6769,0.41058105,93.54427,36.152298,0.04,4.5593677,1.75E+07,18.108015,20.780367,14,77.6
