valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
1979-01-01,2.8004858,300.31534,294.62778,289.0602,99.55108,34.29397,0.0,4.2365746,2.0558922e+07,15.527737,20.472977,13.800000000004331,77.59999999998536
1979-01-02,3.2627647,300.3721,294.18375,288.0186,100.0,42.588966,0.0,4.2542977,2.0751132e+07,16.259485,19.86114,13.800000000004331,77.59999999998536
1979-01-03,3.1042147,300.04782,294.28412,288.20627,99.33807,40.01685,0.0,4.226186,2.0524788e+07,15.625802,19.814445,13.800000000004331,77.59999999998536
1979-01-04,2.5816383,300.2834,294.1838,287.4907,99.93324,33.04121,0.0,4.224675,2.1046676e+07,14.361647,21.571714,13.800000000004331,77.59999999998536
1979-01-05,2.6139452,300.7655,294.545,287.3592,96.1715,29.05901,0.0,4.3655567,2.1189516e+07,13.632257,23.329016,13.800000000004331,77.59999999998536
1979-01-06,3.096408,300.59412,294.21198,287.8233,95.52264,30.680786,0.0,4.5729427,2.115033e+07,13.674914,22.918053,13.800000000004331,77.59999999998536
1979-01-07,2.8071294,300.3762,294.4889,288.0994,93.605064,32.158665,0.0,4.380455,2.121039e+07,14.342849,21.786427,13.800000000004331,77.59999999998536
1979-01-08,2.405232,300.57474,294.46753,288.43668,98.14682,31.745216,0.0,4.2797356,2.0986148e+07,13.906972,22.644566,13.800000000004331,77.59999999998536
1979-01-09,2.5157769,300.68695,294.30173,287.55807,99.24756,35.315216,0.0,4.254217,2.0916622e+07,14.351599,22.44047,13.800000000004331,77.59999999998536
1979-01-10,2.8094563,300.76144,294.08374,287.81824,95.911385,27.884996,0.0,4.5224233,2.1294334e+07,13.536073,23.416454,13.800000000004331,77.59999999998536
1979-01-11,2.930135,300.33896,293.97815,287.4762,99.124794,28.122883,0.0,4.5309243,2.1510718e+07,13.573535,22.477036,13.800000000004331,77.59999999998536
1979-01-12,2.668847,300.78564,294.08652,287.30408,94.86181,25.998165,0.0,4.5376005,2.1614468e+07,12.764399,24.24037,13.800000000004331,77.59999999998536
1979-01-13,2.7694268,300.951,294.44635,288.04898,96.70022,28.113586,0.0,4.623151,2.14808e+07,12.998471,24.365044,13.800000000004331,77.59999999998536
1979-01-14,2.76162,301.79645,294.80887,288.291,93.67614,25.779142,0.0,4.734326,2.1444216e+07,13.197441,26.048157,13.800000000004331,77.59999999998536
1979-01-15,3.0430071,301.56076,294.9547,288.53552,96.98845,26.858297,0.0,4.810057,2.1580522e+07,13.80477,24.908058,13.800000000004331,77.59999999998536
1979-01-16,2.8923483,301.96542,295.20218,288.73697,97.31369,26.482876,0.0,4.822733,2.1499634e+07,13.665585,25.96592,13.800000000004331,77.59999999998536
1979-01-17,2.5909464,302.0842,295.16208,288.5308,100.0,29.29231,0.0,4.5912013,2.1566398e+07,14.923724,24.980999,13.800000000004331,77.59999999998536
1979-01-18,3.0633593,303.1253,296.59198,289.77386,97.32254,29.596537,0.0,4.866472,2.1228838e+07,16.34976,26.020838,13.800000000004331,77.59999999998536
1979-01-19,2.6814766,302.96942,297.48685,291.4042,97.10728,34.45949,0.04,4.5313153,1.9988408e+07,17.799313,24.19384,13.800000000004331,77.59999999998536
1979-01-20,2.2896287,301.97394,296.95718,291.64188,97.460884,38.79963,0.07,3.9124458,1.7093088e+07,18.062098,21.58893,13.800000000004331,77.59999999998536
1979-01-21,3.6665006,302.43832,296.44897,291.11868,90.62552,31.531536,0.01,5.2543225,2.174912e+07,15.712076,25.017008,13.800000000004331,77.59999999998536
1979-01-22,3.1641076,301.56464,295.43518,289.34555,96.97362,30.062803,0.0,4.7808046,2.156624e+07,15.438899,23.28263,13.800000000004331,77.59999999998536
1979-01-23,3.7068672,301.9161,295.7669,289.4111,99.057915,35.962025,0.0,4.832516,2.1380188e+07,17.022442,22.496098,13.800000000004331,77.59999999998536
1979-01-24,4.0486364,302.12424,296.5882,291.73203,91.2244,35.04935,0.0,4.930178,1.9138766e+07,17.37656,22.620636,13.800000000004331,77.59999999998536
1979-01-25,3.9683242,302.27847,296.07996,289.94077,95.34058,34.360195,0.01,5.100818,2.0799524e+07,16.443003,23.912153,13.800000000004331,77.59999999998536
1979-01-26,3.1924353,302.92007,295.6654,289.45853,94.5106,23.755766,0.02,5.2241206,2.2178198e+07,14.30993,27.564365,13.800000000004331,77.59999999998536
1979-01-27,2.720191,303.99005,297.0364,289.93167,97.88542,21.293444,0.0,5.201295,2.2104782e+07,13.812252,30.706196,13.800000000004331,77.59999999998536
1979-01-28,2.2680461,304.19748,297.56744,290.45914,88.855965,25.89971,0.0,4.8097086,2.0795094e+07,14.486577,30.56094,13.800000000004331,77.59999999998536
1979-01-29,2.3786752,303.97952,297.79892,291.15875,80.76278,31.076399,0.02,4.7609773,1.9852372e+07,14.912064,29.579685,13.800000000004331,77.59999999998536
1979-01-30,2.1555111,303.7557,297.7842,291.69095,76.8082,34.185772,0.0,4.6128983,2.015274e+07,16.07651,27.850744,13.800000000004331,77.59999999998536
1979-01-31,2.5475278,305.05307,299.0643,292.1188,81.75662,31.77584,0.07,5.106504,2.0937302e+07,16.234016,31.053928,13.800000000004331,77.59999999998536
1979-02-01,1.7637477,304.68524,298.52798,292.1663,81.78212,31.252954,0.0,4.670697,2.1613318e+07,16.13831,30.17487,13.800000000004331,77.59999999998536
1979-02-02,2.4450426,305.42432,299.31183,291.9467,87.9127,27.921412,0.0,5.225558,2.2039208e+07,16.005514,32.284286,13.800000000004331,77.59999999998536
1979-02-03,2.5055087,304.5802,298.5869,293.67194,65.925476,31.6862,0.01,5.0815196,2.0524798e+07,16.062939,29.97509,13.800000000004331,77.59999999998536
1979-02-04,3.6411915,303.65335,297.4139,290.5311,90.76962,33.278736,0.01,5.330205,2.1213058e+07,16.660698,27.010471,13.800000000004331,77.59999999998536
1979-02-05,3.5084734,303.87036,297.2802,290.4202,93.83092,29.752192,0.0,5.5902953,2.271357e+07,15.729158,28.486483,13.800000000004331,77.59999999998536
1979-02-06,3.2774184,304.17752,297.6213,290.34085,92.349815,28.464094,0.0,5.4229484,2.2511782e+07,16.48005,28.51633,13.800000000004331,77.59999999998536
1979-02-07,2.4915643,304.68692,298.49075,291.8172,93.992516,27.447416,0.0,5.167587,2.1967474e+07,16.084469,30.233128,13.800000000004331,77.59999999998536
1979-02-08,2.8132339,304.79984,299.29065,292.34467,85.60246,28.95903,0.0,5.117019,2.0134334e+07,17.0224,29.592571,13.800000000004331,77.59999999998536
1979-02-09,2.3388314,304.80344,299.27863,293.3026,80.39375,29.202133,0.1,4.988627,2.0896568e+07,17.387281,29.237204,13.800000000004331,77.59999999998536
1979-02-10,2.628194,302.86713,298.63,293.1283,87.55951,37.046013,0.32,4.4164176,1.7707702e+07,18.417738,23.32932,13.800000000004331,77.59999999998536
1979-02-11,2.7690566,302.2357,298.15784,293.22318,89.875114,40.620663,0.68,4.343411,1.7739338e+07,18.848421,21.407156,13.800000000004331,77.59999999998536
1979-02-12,2.113762,302.9755,297.453,292.36954,91.22464,36.01982,0.57,4.2839007,1.8518814e+07,18.117867,23.889954,13.800000000004331,77.59999999998536
