valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
01-01-1979,2.745465,302.39294,297.31662,291.39743,94.83866,39.378864,0,4.1325016,1.90E+07,18.838888,21.783716,15.8,78
02-01-1979,3.3866765,302.17545,296.73297,290.99176,98.386765,39.202934,0,4.3785686,1.88E+07,18.013412,22.102322,15.8,78
03-01-1979,2.6633363,302.09225,296.63638,290.93008,96.08916,38.851025,0,4.2088666,1.94E+07,17.468092,22.455225,15.8,78
04-01-1979,2.5717344,302.58185,297.23077,291.10648,94.13349,31.857458,0,4.41011,2.00E+07,16.121155,24.946217,15.8,78
05-01-1979,2.5356624,303.18814,297.80145,291.49258,89.393326,32.44173,0,4.43178,1.97E+07,16.615347,25.908232,15.8,78
06-01-1979,3.1399772,303.437,297.64673,292.44696,86.64908,29.697485,0,4.844054,1.90E+07,16.054653,27.079536,15.8,78
07-01-1979,2.600096,302.85242,297.01767,291.52792,90.65459,28.466692,0,4.486123,1.98E+07,16.136965,25.574812,15.8,78
08-01-1979,2.0777109,302.45584,296.98468,291.15067,94.623505,32.701374,0,4.0031047,1.83E+07,16.02738,24.74286,15.8,78
09-01-1979,2.1235116,303.036,296.89737,290.29526,95.44706,30.211237,0,4.2165217,1.98E+07,15.7216625,26.432371,15.8,78
10-01-1979,2.6093125,303.3916,296.8826,290.78915,91.66745,28.05476,0,4.6549377,2.00E+07,14.862528,28.159678,15.8,78
11-01-1979,2.4808145,302.58206,296.98596,291.01157,91.78681,31.00632,0,4.420794,2.01E+07,15.839781,25.228106,15.8,78
12-01-1979,2.517455,302.72275,296.8477,291.2232,87.44916,29.024406,0,4.5699797,2.02E+07,14.759332,26.642536,15.8,78
13-01-1979,2.7095628,302.703,296.8384,290.82834,85.93077,26.661325,0,4.7149496,2.04E+07,14.326126,27.02872,15.8,78
14-01-1979,2.6365938,303.73907,296.97815,290.8284,87.07289,27.926247,0,4.728227,2.00E+07,14.947808,28.937737,15.8,78
15-01-1979,3.1312428,303.5395,297.2489,291.25168,91.80112,26.770182,0,4.9849563,2.04E+07,15.583535,27.804295,15.8,78
16-01-1979,2.9019828,302.75867,297.10327,291.6681,81.262596,31.032087,0,4.801965,2.02E+07,15.248397,26.239105,15.8,78
17-01-1979,2.910887,303.36493,297.1612,291.20267,86.814156,28.133562,0,4.8613896,2.04E+07,15.540889,27.415665,15.8,78
18-01-1979,3.322838,303.57828,297.80994,291.53973,91.99795,32.398964,0,4.7905335,1.99E+07,18.306383,25.177794,15.8,78
19-01-1979,3.7533658,303.6115,298.79874,293.56802,90.91706,40.771988,0.61,4.0691004,1.36E+07,21.354565,22.212307,15.8,78
20-01-1979,3.121059,303.47537,298.9894,294.16965,92.98477,38.43555,0.3,4.05584,1.50E+07,21.19595,22.033043,15.8,78
21-01-1979,3.4505687,303.80408,298.4202,293.37793,90.211464,35.044777,0.02,4.6838813,1.71E+07,18.870045,25.178669,15.8,78
22-01-1979,3.4136722,303.3896,297.56012,291.7396,92.34159,30.88755,0,5.0152717,1.99E+07,16.78931,26.22794,15.8,78
23-01-1979,3.3401349,303.53998,297.86896,291.26532,92.1497,32.526688,0,4.6547885,1.88E+07,18.503777,24.88527,15.8,78
24-01-1979,3.1383555,303.03702,298.24503,292.81937,94.34203,35.31152,0.07,4.044445,1.40E+07,18.974499,23.181976,15.8,78
25-01-1979,3.3671036,303.55374,298.03024,292.17758,93.00498,33.64853,0,4.9300494,1.99E+07,17.943085,25.480133,15.8,78
26-01-1979,2.8807907,304.09735,297.61554,291.82864,95.81208,28.22012,0.01,4.9685435,2.07E+07,16.739388,28.052063,15.8,78
27-01-1979,3.1003788,305.02777,298.5243,291.99817,97.46629,24.217903,0,5.252336,2.05E+07,16.445187,30.775158,15.8,78
28-01-1979,2.843638,305.41916,299.50024,292.61743,86.40471,31.01182,0,5.0403576,1.96E+07,17.522217,30.753544,15.8,78
29-01-1979,3.0357456,305.4255,299.71268,293.55414,82.240875,30.45473,0,5.2242675,1.91E+07,16.814423,31.478634,15.8,78
30-01-1979,1.7250181,305.76498,300.1306,294.32523,78.65317,30.266275,0,4.555908,2.05E+07,18.3289,30.896416,15.8,78
31-01-1979,3.0621457,306.64886,300.7339,294.40652,79.52999,30.308155,0,5.498106,2.05E+07,18.542936,33.183304,15.8,78
01-02-1979,2.164194,305.54596,299.93744,295.08752,76.754845,27.830593,0,4.9800286,2.07E+07,16.424685,32.197372,15.8,78
02-02-1979,1.6229203,306.0985,300.468,293.8744,88.75589,33.183662,0.03,4.447668,2.02E+07,19.692854,30.463533,15.8,78
03-02-1979,2.6025457,305.05014,300.0732,295.59793,75.79126,39.267277,0.17,4.8814335,1.94E+07,19.87918,27.400932,15.8,78
04-02-1979,3.5915873,304.4655,299.49487,293.75677,87.00556,34.68667,0.07,4.9171224,1.73E+07,19.534235,26.205011,15.8,78
05-02-1979,3.6915247,303.8014,299.05292,294.48376,87.53292,39.6893,0.62,4.660843,1.65E+07,20.764317,23.277649,15.8,78
06-02-1979,3.5538664,304.73077,299.53445,294.2917,91.11923,35.26612,0.16,4.612934,1.57E+07,21.164682,25.268202,15.8,78
07-02-1979,3.1039383,305.01575,299.83405,293.85657,91.07941,33.15977,0.06,5.0438786,1.94E+07,19.688107,27.500122,15.8,78
08-02-1979,2.4258304,305.47162,300.35193,294.44937,90.74845,32.173565,0,4.8321676,2.02E+07,20.72762,27.691143,15.8,78
09-02-1979,2.928815,305.49588,300.33716,294.2151,92.56754,30.556791,0.11,4.8545866,1.85E+07,20.936092,27.54895,15.8,78
10-02-1979,3.2577562,304.56314,300.1133,294.65106,90.03025,36.914864,0.42,4.8412223,1.81E+07,20.842264,25.15122,15.8,78
11-02-1979,3.6144907,305.0638,300.173,294.5844,92.196754,36.030945,0.17,5.040833,1.78E+07,20.852072,26.464628,15.8,78
12-02-1979,3.467104,304.77573,299.2584,294.6588,89.55884,38.247845,0.36,5.138774,1.88E+07,20.238487,26.312847,15.8,78
13-02-1979,2.7698514,304.1374,299.47614,294.55878,89.914215,40.569756,0.4,4.6477456,1.86E+07,20.780388,24.113304,15.8,78
14-02-1979,4.0245376,304.57535,300.10312,294.305,85.67698,35.427933,0.51,5.314388,1.81E+07,19.593775,26.431585,15.8,78
15-02-1979,3.4649434,304.12613,299.7975,295.03195,78.30944,36.525894,0.82,5.1311994,1.83E+07,19.25478,25.610153,15.8,78
16-02-1979,2.8684528,304.16116,299.35727,293.74142,82.93681,32.520184,0.35,4.886975,1.83E+07,18.072407,26.8821,15.8,78
17-02-1979,3.0325112,305.4311,299.44247,292.78403,81.68942,24.204262,0,5.7734885,2.23E+07,15.556319,32.75193,15.8,78
18-02-1979,3.4991677,305.5736,299.60214,293.1495,85.520905,26.473093,0,5.7888927,2.25E+07,18.763117,29.934732,15.8,78
19-02-1979,2.9487336,306.87933,301.1507,295.90475,85.02366,27.537035,0.43,5.463074,2.01E+07,20.88561,31.510595,15.8,78
20-02-1979,1.9583559,306.82483,301.24673,295.11688,81.66465,22.593111,0,5.34009,2.26E+07,17.33001,34.907066,15.8,78
21-02-1979,1.9666917,307.48587,301.60458,295.059,86.05255,22.159624,0,5.3849616,2.26E+07,17.687292,36.508194,15.8,78
22-02-1979,2.267897,307.86118,301.8915,294.85315,76.92103,19.575285,0,5.544929,2.18E+07,17.642498,37.692944,15.8,78
23-02-1979,2.0289083,307.34927,301.63135,295.07745,77.91495,25.1574,0.31,5.176936,2.08E+07,18.696056,35.089607,15.8,78
24-02-1979,1.9453866,307.09778,301.15475,296.0092,79.962524,18.177109,0.65,5.3032265,2.12E+07,15.905381,37.132763,15.8,78
25-02-1979,2.0361638,307.12418,300.38553,294.09058,70.26951,17.497843,0,5.660949,2.35E+07,12.547626,40.56856,15.8,78
26-02-1979,2.8320177,306.1743,300.3907,294.21985,85.30753,28.813673,0.21,5.429785,2.09E+07,19.504831,30.865236,15.8,78
27-02-1979,3.444924,304.51703,299.59067,294.2325,89.074974,28.758696,0.09,5.62005,2.05E+07,17.75367,28.119568,15.8,78
28-02-1979,3.0316367,305.07062,298.9086,294.05313,89.17237,29.98279,0.05,5.3596497,2.00E+07,18.3267,29.008184,15.8,78
01-03-1979,3.3236816,305.64395,299.02283,293.59152,90.69667,22.138264,0,6.1741557,2.24E+07,15.204305,33.686855,15.8,78
02-03-1979,3.304537,304.87238,298.64444,291.7082,64.05386,26.796032,0,6.2159314,2.38E+07,13.639469,33.167408,15.8,78
03-03-1979,3.046972,305.1581,298.89502,291.29953,92.7776,30.446115,0.01,5.6837287,2.30E+07,17.007416,30.562153,15.8,78
04-03-1979,3.0092514,305.69565,299.58185,293.04257,84.79691,23.327938,0,6.0833855,2.38E+07,15.67965,33.354004,15.8,78
05-03-1979,2.5315301,306.4112,299.43625,291.64615,81.33728,16.180841,0,5.985355,2.44E+07,13.903308,37.139843,15.8,78
06-03-1979,2.713653,307.75275,301.30826,293.90955,86.77723,21.020115,0,6.2339725,2.41E+07,16.59459,38.40937,15.8,78
07-03-1979,2.5937467,308.25446,302.0716,294.8834,76.16186,19.405066,0,6.3175,2.39E+07,15.345279,41.206978,15.8,78
08-03-1979,2.5468657,308.99686,303.03113,295.921,69.00635,21.200298,0,6.0893636,2.18E+07,16.673428,42.23918,15.8,78
09-03-1979,2.6734593,308.43304,302.00916,296.56363,61.32755,13.421427,0,6.6886616,2.44E+07,12.868801,44.24362,15.8,78
10-03-1979,2.342869,307.2585,300.5583,294.75964,42.22286,16.917553,0,6.308513,2.46E+07,9.823151,43.6917,15.8,78
11-03-1979,1.9662222,307.805,300.32712,292.38443,40.36232,9.318006,0,6.020641,2.53E+07,7.691235,47.472225,15.8,78
12-03-1979,1.9743022,308.29776,300.64127,291.0498,55.64552,10.684982,0,6.045622,2.53E+07,9.276067,47.4116,15.8,78
13-03-1979,1.8993722,308.83423,301.68262,293.3944,63.063095,12.622281,0,6.0151153,2.51E+07,11.265505,47.12288,15.8,78
14-03-1979,1.8527471,308.94196,302.06418,294.34183,63.370686,15.423105,0,5.9950323,2.50E+07,13.222993,45.5122,15.8,78
15-03-1979,2.1900244,309.43472,302.84192,295.7517,60.915512,17.781364,0,6.3672814,2.49E+07,14.52767,45.816734,15.8,78
16-03-1979,1.8316978,309.72046,303.68326,296.56882,56.632534,17.992226,0,6.0956798,2.49E+07,14.747658,46.547237,15.8,78
17-03-1979,2.2247605,310.0252,303.9376,296.8725,62.9139,17.716515,0,6.493259,2.49E+07,15.596986,46.725937,15.8,78
18-03-1979,2.516237,310.45526,304.51535,297.65622,62.489628,15.664171,0,6.918645,2.50E+07,13.969454,49.82955,15.8,78
19-03-1979,2.0388284,310.84058,304.59323,297.81195,53.09097,17.52116,0,6.359587,2.40E+07,15.279697,49.867466,15.8,78
20-03-1979,2.6600707,310.9025,304.68924,297.50217,63.966568,17.144253,0,7.0662436,2.50E+07,15.660832,49.705288,15.8,78
21-03-1979,2.6042855,310.57147,304.38004,297.3561,63.63378,16.051764,0,7.0134277,2.49E+07,14.411521,49.791527,15.8,78
22-03-1979,2.7308788,310.8762,304.23975,297.05515,52.588444,14.807122,0,7.238497,2.52E+07,13.087997,52.185043,15.8,78
23-03-1979,3.1786466,310.00793,303.19962,296.26724,73.07697,15.0124035,0,7.4404325,2.53E+07,14.996451,47.267796,15.8,78
24-03-1979,3.0764923,309.96344,303.4085,296.3259,71.3628,14.874951,0,7.416549,2.54E+07,14.133843,47.97952,15.8,78
25-03-1979,2.4983218,310.063,303.62823,296.68445,76.62119,17.721151,0,6.749554,2.47E+07,16.022684,46.428703,15.8,78
26-03-1979,2.6432357,310.6453,304.22418,297.82974,67.588455,16.676167,0,6.974742,2.42E+07,15.620992,48.83987,15.8,78
27-03-1979,2.275749,310.83362,304.5111,297.4034,62.2699,13.813991,0,6.846461,2.55E+07,13.724437,51.398182,15.8,78
28-03-1979,2.1644342,311.09354,305.43802,298.2205,53.94158,12.801579,0,6.622851,2.42E+07,14.146509,51.8991,15.8,78
29-03-1979,2.1358736,311.13043,303.83078,297.31796,52.576664,13.716618,0,6.7933917,2.56E+07,10.416098,55.761414,15.8,78
30-03-1979,2.7204752,310.80838,303.19058,296.02048,42.016186,12.501048,0,7.473615,2.60E+07,8.6610775,56.372528,15.8,78
