valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
1979-01-01,3.0014286,301.06638,296.2722,292.1448,97.03665,42.695446,0.0,4.1399584,1.8818536e+07,18.340277,19.275389,15.60000000000423,78.09999999998536
1979-01-02,3.7805007,301.25647,295.6625,290.55148,100.0,39.43045,0.0,4.3030796,1.7625346e+07,17.38457,20.64971,15.60000000000423,78.09999999998536
1979-01-03,3.0943487,301.15634,295.6594,290.84396,97.863556,40.207783,0.0,4.2103887,1.8405494e+07,16.83976,20.973522,15.60000000000423,78.09999999998536
1979-01-04,2.8734176,301.17657,296.0213,290.46024,97.0189,39.599228,0.0,4.327304,2.0053848e+07,16.479797,21.378044,15.60000000000423,78.09999999998536
1979-01-05,2.7106578,301.9215,296.55847,290.64813,94.13014,35.590656,0.0,4.3315454,1.9650818e+07,16.27555,23.255337,15.60000000000423,78.09999999998536
1979-01-06,3.3268034,302.2392,296.3623,291.52676,92.222046,32.100334,0.0,4.6902328,1.8689208e+07,15.802307,24.461418,15.60000000000423,78.09999999998536
1979-01-07,2.7686942,301.78052,296.1616,290.9698,95.03797,32.002533,0.0,4.3694687,1.9477154e+07,16.108904,23.100485,15.60000000000423,78.09999999998536
1979-01-08,2.4778602,301.74014,296.1407,290.987,97.040306,35.668274,0.0,4.0909986,1.8309808e+07,15.853241,23.264511,15.60000000000423,78.09999999998536
1979-01-09,2.2685573,302.07486,296.1381,290.5304,95.99366,32.98928,0.0,4.1952834,1.9621426e+07,15.654339,24.228848,15.60000000000423,78.09999999998536
1979-01-10,2.8847344,302.30765,295.93936,290.92816,91.54472,31.560537,0.0,4.6886845,1.9981818e+07,14.939248,25.483932,15.60000000000423,78.09999999998536
1979-01-11,2.7218077,301.5942,295.9629,290.43527,94.629654,33.932922,0.0,4.4120054,2.00433e+07,15.600973,23.187082,15.60000000000423,78.09999999998536
1979-01-12,2.8148315,301.81845,295.88663,290.59888,92.67892,31.445358,0.0,4.618477,2.0353062e+07,14.569586,24.726091,15.60000000000423,78.09999999998536
1979-01-13,2.9891152,301.82028,295.93048,290.3521,91.861984,29.222164,0.0,4.7042494,2.0267948e+07,14.408523,24.891315,15.60000000000423,78.09999999998536
1979-01-14,3.0820353,302.6335,295.9629,290.40982,92.438156,30.801702,0.0,4.804886,1.9990464e+07,14.913781,26.275974,15.60000000000423,78.09999999998536
1979-01-15,3.361106,302.45654,296.23337,290.78394,95.88581,29.854748,0.0,4.937118,2.0478356e+07,15.424383,25.347494,15.60000000000423,78.09999999998536
1979-01-16,3.1516676,301.895,296.15277,290.98248,89.14404,32.16221,0.0,4.7936244,2.0311306e+07,15.055202,24.41505,15.60000000000423,78.09999999998536
1979-01-17,3.2096717,302.2387,296.04294,290.7487,92.77355,31.506966,0.0,4.8561673,2.0576118e+07,15.348223,24.914373,15.60000000000423,78.09999999998536
1979-01-18,3.8025615,302.5299,296.78656,290.9926,97.789955,34.688454,0.0,4.7532706,1.9798976e+07,18.157862,22.786795,15.60000000000423,78.09999999998536
1979-01-19,4.2327957,302.16516,297.9016,293.81992,96.68152,44.22126,0.79,3.9064388,1.2782239e+07,21.355125,18.73677,15.60000000000423,78.09999999998536
1979-01-20,3.7907982,302.5767,298.22104,294.1561,96.38145,39.703136,0.23,4.2532616,1.5328782e+07,20.77782,20.277359,15.60000000000423,78.09999999998536
1979-01-21,3.999966,302.78387,297.59558,293.45273,91.20508,35.06861,0.12,4.813738,1.6744746e+07,18.213902,23.333801,15.60000000000423,78.09999999998536
1979-01-22,3.6626203,302.40204,296.51672,291.42157,98.529236,31.237923,0.02,4.9370966,1.9517506e+07,16.45409,24.189835,15.60000000000423,78.09999999998536
1979-01-23,4.0927186,302.7453,297.0051,290.69714,95.25239,33.518036,0.02,4.5728245,1.7230792e+07,18.572905,22.882715,15.60000000000423,78.09999999998536
1979-01-24,3.6623497,302.15726,297.482,292.7951,96.22,37.80501,0.05,4.1919703,1.454225e+07,18.875626,21.197971,15.60000000000423,78.09999999998536
1979-01-25,3.778494,302.88516,297.21216,291.9136,95.60929,32.671356,0.02,4.9445896,1.9142972e+07,17.598276,24.192087,15.60000000000423,78.09999999998536
1979-01-26,3.313209,302.9728,296.77338,291.84985,98.051926,31.531605,0.03,4.9965076,2.0441354e+07,16.742516,25.258823,15.60000000000423,78.09999999998536
