valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Cloud_Cover_Mean_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
01-01-1979,2.8004858,300.31534,294.62778,289.0602,0.06937108,99.55108,34.29397,0,4.2365746,2.06E+07,15.527737,20.472977,13.8,77.6
02-01-1979,3.2627647,300.3721,294.18375,288.0186,0.18989587,100,42.588966,0,4.2542977,2.08E+07,16.259485,19.86114,13.8,77.6
03-01-1979,3.1042147,300.04782,294.28412,288.20627,0.15844432,99.33807,40.01685,0,4.226186,2.05E+07,15.625802,19.814445,13.8,77.6
04-01-1979,2.5816383,300.2834,294.1838,287.4907,0.07703323,99.93324,33.04121,0,4.224675,2.10E+07,14.361647,21.571714,13.8,77.6
05-01-1979,2.6139452,300.7655,294.545,287.3592,0.2857477,96.1715,29.05901,0,4.3655567,2.12E+07,13.632257,23.329016,13.8,77.6
06-01-1979,3.096408,300.59412,294.21198,287.8233,0.23412551,95.52264,30.680786,0,4.5729427,2.12E+07,13.674914,22.918053,13.8,77.6
07-01-1979,2.8071294,300.3762,294.4889,288.0994,0.15564843,93.605064,32.158665,0,4.380455,2.12E+07,14.342849,21.786427,13.8,77.6
08-01-1979,2.405232,300.57474,294.46753,288.43668,0.57512116,98.14682,31.745216,0,4.2797356,2.10E+07,13.906972,22.644566,13.8,77.6
09-01-1979,2.5157769,300.68695,294.30173,287.55807,0.38158268,99.24756,35.315216,0,4.254217,2.09E+07,14.351599,22.44047,13.8,77.6
10-01-1979,2.8094563,300.76144,294.08374,287.81824,0.053702418,95.911385,27.884996,0,4.5224233,2.13E+07,13.536073,23.416454,13.8,77.6
11-01-1979,2.930135,300.33896,293.97815,287.4762,0.115047365,99.124794,28.122883,0,4.5309243,2.15E+07,13.573535,22.477036,13.8,77.6
12-01-1979,2.668847,300.78564,294.08652,287.30408,0.049989324,94.86181,25.998165,0,4.5376005,2.16E+07,12.764399,24.24037,13.8,77.6
13-01-1979,2.7694268,300.951,294.44635,288.04898,0.06974516,96.70022,28.113586,0,4.623151,2.15E+07,12.998471,24.365044,13.8,77.6
14-01-1979,2.76162,301.79645,294.80887,288.291,0.05508842,93.67614,25.779142,0,4.734326,2.14E+07,13.197441,26.048157,13.8,77.6
15-01-1979,3.0430071,301.56076,294.9547,288.53552,0.051331498,96.98845,26.858297,0,4.810057,2.16E+07,13.80477,24.908058,13.8,77.6
16-01-1979,2.8923483,301.96542,295.20218,288.73697,0.09460009,97.31369,26.482876,0,4.822733,2.15E+07,13.665585,25.96592,13.8,77.6
17-01-1979,2.5909464,302.0842,295.16208,288.5308,0.09252265,100,29.29231,0,4.5912013,2.16E+07,14.923724,24.980999,13.8,77.6
18-01-1979,3.0633593,303.1253,296.59198,289.77386,0.23275945,97.32254,29.596537,0,4.866472,2.12E+07,16.34976,26.020838,13.8,77.6
19-01-1979,2.6814766,302.96942,297.48685,291.4042,0.38519442,97.10728,34.45949,0.04,4.5313153,2.00E+07,17.799313,24.19384,13.8,77.6
20-01-1979,2.2896287,301.97394,296.95718,291.64188,0.4931231,97.460884,38.79963,0.07,3.9124458,1.71E+07,18.062098,21.58893,13.8,77.6
21-01-1979,3.6665006,302.43832,296.44897,291.11868,0.21477075,90.62552,31.531536,0.01,5.2543225,2.17E+07,15.712076,25.017008,13.8,77.6
22-01-1979,3.1641076,301.56464,295.43518,289.34555,0.32269943,96.97362,30.062803,0,4.7808046,2.16E+07,15.438899,23.28263,13.8,77.6
23-01-1979,3.7068672,301.9161,295.7669,289.4111,0.3878013,99.057915,35.962025,0,4.832516,2.14E+07,17.022442,22.496098,13.8,77.6
24-01-1979,4.0486364,302.12424,296.5882,291.73203,0.3634488,91.2244,35.04935,0,4.930178,1.91E+07,17.37656,22.620636,13.8,77.6
25-01-1979,3.9683242,302.27847,296.07996,289.94077,0.226173,95.34058,34.360195,0.01,5.100818,2.08E+07,16.443003,23.912153,13.8,77.6
26-01-1979,3.1924353,302.92007,295.6654,289.45853,0.1703353,94.5106,23.755766,0.02,5.2241206,2.22E+07,14.30993,27.564365,13.8,77.6
27-01-1979,2.720191,303.99005,297.0364,289.93167,0.2047647,97.88542,21.293444,0,5.201295,2.21E+07,13.812252,30.706196,13.8,77.6
28-01-1979,2.2680461,304.19748,297.56744,290.45914,0.4025457,88.855965,25.89971,0,4.8097086,2.08E+07,14.486577,30.56094,13.8,77.6
29-01-1979,2.3786752,303.97952,297.79892,291.15875,0.22328283,80.76278,31.076399,0.02,4.7609773,1.99E+07,14.912064,29.579685,13.8,77.6
30-01-1979,2.1555111,303.7557,297.7842,291.69095,0.43320134,76.8082,34.185772,0,4.6128983,2.02E+07,16.07651,27.850744,13.8,77.6
31-01-1979,2.5475278,305.05307,299.0643,292.1188,0.3311947,81.75662,31.77584,0.07,5.106504,2.09E+07,16.234016,31.053928,13.8,77.6
01-02-1979,1.7637477,304.68524,298.52798,292.1663,0.17416304,81.78212,31.252954,0,4.670697,2.16E+07,16.13831,30.17487,13.8,77.6
02-02-1979,2.4450426,305.42432,299.31183,291.9467,0.13512017,87.9127,27.921412,0,5.225558,2.20E+07,16.005514,32.284286,13.8,77.6
03-02-1979,2.5055087,304.5802,298.5869,293.67194,0.4525424,65.925476,31.6862,0.01,5.0815196,2.05E+07,16.062939,29.97509,13.8,77.6
04-02-1979,3.6411915,303.65335,297.4139,290.5311,0.1834272,90.76962,33.278736,0.01,5.330205,2.12E+07,16.660698,27.010471,13.8,77.6
05-02-1979,3.5084734,303.87036,297.2802,290.4202,0.075923495,93.83092,29.752192,0,5.5902953,2.27E+07,15.729158,28.486483,13.8,77.6
06-02-1979,3.2774184,304.17752,297.6213,290.34085,0.14606382,92.349815,28.464094,0,5.4229484,2.25E+07,16.48005,28.51633,13.8,77.6
07-02-1979,2.4915643,304.68692,298.49075,291.8172,0.37109765,93.992516,27.447416,0,5.167587,2.20E+07,16.084469,30.233128,13.8,77.6
08-02-1979,2.8132339,304.79984,299.29065,292.34467,0.31567472,85.60246,28.95903,0,5.117019,2.01E+07,17.0224,29.592571,13.8,77.6
09-02-1979,2.3388314,304.80344,299.27863,293.3026,0.42022762,80.39375,29.202133,0.1,4.988627,2.09E+07,17.387281,29.237204,13.8,77.6
10-02-1979,2.628194,302.86713,298.63,293.1283,0.26737788,87.55951,37.046013,0.32,4.4164176,1.77E+07,18.417738,23.32932,13.8,77.6
11-02-1979,2.7690566,302.2357,298.15784,293.22318,0.29676884,89.875114,40.620663,0.68,4.343411,1.77E+07,18.848421,21.407156,13.8,77.6
12-02-1979,2.113762,302.9755,297.453,292.36954,0.46554002,91.22464,36.01982,0.57,4.2839007,1.85E+07,18.117867,23.889954,13.8,77.6
13-02-1979,2.1821191,303.04996,297.48917,292.5235,0.44917017,90.744576,34.84638,0.6,4.338722,1.84E+07,17.908504,24.279293,13.8,77.6
14-02-1979,3.1570091,302.82617,298.07367,292.22675,0.49199697,86.35496,37.00448,0.32,4.7959642,1.85E+07,17.554386,24.094505,13.8,77.6
15-02-1979,2.481616,303.566,298.0804,292.16113,0.3777753,89.90803,34.34308,0.09,4.653134,1.88E+07,17.149237,26.304453,13.8,77.6
16-02-1979,2.0072975,301.99524,297.627,292.2879,0.39287385,86.32228,41.3028,0.82,4.155547,1.80E+07,16.887646,22.812279,13.8,77.6
17-02-1979,2.7187412,304.1352,297.58694,290.80023,0.09474884,89.7997,23.382597,0,5.5062714,2.30E+07,13.9366865,30.951385,13.8,77.6
18-02-1979,3.492725,305.1874,298.21027,290.4785,0.2198703,97.07092,23.620272,0,5.8853545,2.40E+07,17.209871,30.438509,13.8,77.6
19-02-1979,2.6364396,303.21564,297.6646,293.34756,0.53811544,88.043686,43.823307,2.06,4.1806498,1.69E+07,20.996696,21.593975,13.8,77.6
20-02-1979,2.3329635,303.5767,297.8572,292.86746,0.56664985,89.99257,37.90099,0.8,4.522397,1.93E+07,19.624903,23.85533,13.8,77.6
21-02-1979,1.8987591,305.22922,299.1841,292.67505,0.18371095,96.58143,32.846077,0.01,4.8166003,2.20E+07,18.37753,29.383507,13.8,77.6
22-02-1979,2.348999,305.06744,299.62955,293.49924,0.27942464,90.38547,29.478891,0.03,4.888349,1.99E+07,18.546621,28.779768,13.8,77.6
23-02-1979,2.4474204,304.5135,299.2243,293.25247,0.30627954,88.52897,31.076645,0.07,4.8673663,1.96E+07,18.39031,27.473707,13.8,77.6
24-02-1979,1.8123095,302.96045,298.26532,293.4064,0.37680098,90.19202,34.607376,0.93,4.2368407,1.84E+07,18.425411,23.546112,13.8,77.6
25-02-1979,2.0112264,304.51627,298.6091,292.09085,0.17480448,88.64249,21.31931,0,5.416524,2.44E+07,13.220958,32.65031,13.8,77.6
26-02-1979,2.4815655,305.02795,299.2418,292.6252,0.24364643,86.58882,22.526663,0.02,5.273933,2.09E+07,16.069849,31.150972,13.8,77.6
27-02-1979,2.4493425,303.28885,297.90695,292.3422,0.37798822,88.37482,28.402586,0.04,4.994171,2.01E+07,14.927755,27.842009,13.8,77.6
28-02-1979,2.9900284,303.0982,297.40002,291.97986,0.21254236,94.6705,30.361607,0.05,5.1667223,2.06E+07,16.254904,26.049868,13.8,77.6
01-03-1979,3.7015562,304.12457,297.09644,291.60846,0.08528282,81.36699,17.598867,0,6.5965734,2.48E+07,12.017093,32.843838,13.8,77.6
02-03-1979,3.5989869,303.163,296.30734,288.36362,0.06343272,77.04214,23.940634,0,6.134333,2.53E+07,12.722145,29.740162,13.8,77.6
03-03-1979,3.5065515,303.94055,297.3707,289.8037,0.18685788,99.11403,28.171839,0,5.8789635,2.41E+07,15.47533,28.917667,13.8,77.6
04-03-1979,3.0724313,304.258,297.6757,290.22937,0.056239363,94.861145,25.999943,0,5.94154,2.51E+07,14.845678,30.357218,13.8,77.6
05-03-1979,2.8772576,305.5495,298.69092,290.7391,0.17712846,99.14386,19.536295,0,5.9524045,2.48E+07,15.987805,32.643944,13.8,77.6
06-03-1979,2.8049212,306.1741,299.71017,292.39664,0.3677329,90.20385,21.93264,0,6.2196507,2.51E+07,15.238109,35.131428,13.8,77.6
07-03-1979,2.52146,307.1296,300.63174,293.12808,0.24551183,83.48261,16.490324,0,6.218735,2.48E+07,14.206487,38.925777,13.8,77.6
08-03-1979,2.6099162,306.00192,300.72137,293.9885,0.32191145,79.092995,25.028217,0,5.68468,2.17E+07,16.184444,33.700752,13.8,77.6
09-03-1979,2.826858,306.31937,300.49268,294.7087,0.20975044,76.7694,19.282246,0,6.4782176,2.46E+07,12.900524,37.88082,13.8,77.6
10-03-1979,1.9906721,306.7402,300.66797,293.00366,0.06865708,53.425938,19.453941,0,5.8471403,2.49E+07,12.265676,39.72521,13.8,77.6
11-03-1979,2.5816054,306.4905,299.5217,292.9583,0.045525458,81.791245,17.50071,0,6.4738207,2.59E+07,11.138348,40.1319,13.8,77.6
12-03-1979,2.6298635,306.8434,299.07764,290.04172,0.04422711,60.600357,9.843251,0,6.662989,2.65E+07,8.355285,43.936012,13.8,77.6
13-03-1979,2.4950714,307.04495,299.5418,291.82166,0.044193465,66.61376,13.390517,0,6.5151095,2.62E+07,10.109935,42.772358,13.8,77.6
14-03-1979,2.704038,307.44217,300.18253,291.78323,0.0445746,69.803764,14.270385,0,6.7299185,2.62E+07,10.695764,43.368317,13.8,77.6
15-03-1979,3.1320202,308.22928,300.98373,293.16467,0.046618395,70.951,13.430045,0,7.2205977,2.62E+07,11.508111,44.96558,13.8,77.6
16-03-1979,3.1601791,308.59033,301.40106,293.58127,0.04492209,65.10496,15.160896,0,7.2790203,2.61E+07,11.964324,45.64543,13.8,77.6
17-03-1979,2.7661731,308.76602,301.48935,292.6733,0.24180269,70.186424,12.371045,0,7.0039663,2.64E+07,11.70793,46.4618,13.8,77.6
18-03-1979,2.741926,308.79105,301.76624,294.06378,0.579743,63.540844,12.243734,0,7.0708914,2.64E+07,10.69227,47.55761,13.8,77.6
19-03-1979,2.4585493,308.57684,302.03378,294.34448,0.12330488,59.84594,17.420784,0,6.6590304,2.59E+07,13.192242,44.374725,13.8,77.6
