valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
01-01-1979,2.6607497,300.94647,295.21695,289.56116,97.72025,31.864912,0,4.289825,2.03E+07,15.521938,21.831734,13.8,77
02-01-1979,2.9613814,301.19464,294.74326,288.3337,100,34.97343,0,4.3725305,2.06E+07,15.717036,22.180641,13.8,77
03-01-1979,2.8934119,300.5085,294.64194,288.43207,99.77092,37.448692,0,4.302277,2.05E+07,15.114068,21.296158,13.8,77
04-01-1979,2.6529064,300.8576,294.77887,287.61685,97.80595,27.708887,0,4.4638696,2.12E+07,13.321637,23.838898,13.8,77
05-01-1979,2.524664,301.14276,294.89935,287.40234,95.5843,27.157686,0,4.4283614,2.11E+07,13.121472,24.661911,13.8,77
06-01-1979,3.0258634,301.11984,294.7474,288.24646,93.71452,27.162138,0,4.724673,2.11E+07,13.026176,24.706825,13.8,77
07-01-1979,2.7773683,300.73898,294.76248,288.41666,93.40539,28.890484,0,4.488308,2.11E+07,13.818966,23.085117,13.8,77
08-01-1979,2.3466094,300.70963,294.8145,288.5738,97.944336,32.028103,0,4.2677293,2.08E+07,13.901653,22.939194,13.8,77
09-01-1979,2.4167566,301.03824,294.81726,287.841,92.442635,32.91527,0,4.3415084,2.10E+07,13.825091,23.728947,13.8,77
10-01-1979,2.7596505,301.2494,294.65848,287.8569,91.0945,25.991035,0,4.6455164,2.12E+07,12.875528,25.143084,13.8,77
11-01-1979,2.8600078,300.99078,294.57632,287.83084,95.76812,21.227436,0,4.72828,2.16E+07,12.403913,25.046398,13.8,77
12-01-1979,2.4792073,301.1742,294.39975,287.69345,93.88914,22.153406,0,4.582609,2.15E+07,12.008858,25.843739,13.8,77
13-01-1979,2.5996068,301.28076,294.8899,288.22614,94.5755,28.007078,0,4.5994267,2.13E+07,12.85031,25.237747,13.8,77
14-01-1979,2.5717216,302.17648,295.17197,288.58096,90.386185,25.932947,0,4.7285647,2.13E+07,12.809393,27.308748,13.8,77
15-01-1979,2.84229,302.06387,295.58,288.64505,95.88139,25.66579,0,4.82574,2.15E+07,13.463497,26.394356,13.8,77
16-01-1979,2.551826,302.22595,295.75388,289.1594,93.63463,27.202873,0,4.739329,2.15E+07,13.471244,26.761696,13.8,77
17-01-1979,2.3615725,302.56662,295.83466,288.72116,98.265526,29.244368,0,4.5631347,2.14E+07,14.696764,26.334604,13.8,77
18-01-1979,2.331656,303.1828,296.69177,289.51947,94.61521,30.321089,0,4.5178075,2.05E+07,15.764657,26.745888,13.8,77
19-01-1979,2.1111927,303.03317,297.17642,289.93164,98.36342,33.76911,0,4.347491,2.06E+07,16.774725,25.37245,13.8,77
20-01-1979,2.2215707,301.98346,297.17783,290.62006,92.116936,37.469822,0.07,4.0253453,1.83E+07,17.213377,22.459497,13.8,77
21-01-1979,3.4743497,303.2399,297.02863,290.7314,94.256065,27.851189,0,5.350745,2.16E+07,14.991662,27.658287,13.8,77
22-01-1979,2.853191,302.17453,295.83478,288.80927,98.05024,24.315065,0.01,4.8559685,2.19E+07,14.362419,25.751194,13.8,77
23-01-1979,3.2441585,302.74362,296.2962,289.61673,96.97121,30.488846,0,4.994392,2.16E+07,15.906435,25.545187,13.8,77
24-01-1979,3.8255267,302.74002,297.12454,291.6791,90.976234,33.2963,0,5.141544,2.00E+07,16.721405,24.721626,13.8,77
25-01-1979,3.60521,302.76617,296.86993,290.30655,94.1084,33.15115,0,5.2427306,2.17E+07,15.932916,25.57251,13.8,77
26-01-1979,2.9319146,303.53235,296.22235,289.85382,94.66848,20.33467,0.01,5.2718163,2.22E+07,13.675558,29.69456,13.8,77
27-01-1979,2.1804817,303.97922,297.34506,290.1392,94.190346,27.85233,0,4.802895,2.17E+07,14.593572,29.897411,13.8,77
28-01-1979,1.9501442,303.98685,297.8859,291.139,76.33091,31.348852,0.01,4.5326476,2.03E+07,15.397555,29.112778,13.8,77
